Estado,Id de contacto,Id. de la oportunidad,Financiador: Nombre de la cuenta,Etapa,Etapa del Cr_dito,Situacion del Cliente,Potencia Instalada (W),Precio de Contado (Venta),Importe,Anticipo,Monto Mensualidad,Frecuencia Programada de Pagos (en dias),Numero de Pagos Programados,Number of Payments,Saldo Pagado,Saldo Total,Saldo Atrasado,Plazo del Credito (meses),Meses Transcurridos,Cantidad de Pagos realizados,% Pagado,Porcentaje de Pago a la Fecha,Rating Interno Credito,Nombre de la cuenta: Nombre de la cuenta
Nuevo Le—n,0031M00002jdPBO,0061M00000xzGRV,ILUMEXICO Financiador,Vendido,Cobrando,Deudor PAR 60,0,6100,6720,2100,770,30,6,7,2480,4240,4240,6,10,1,36.9,36.9,0,Aramberri ILUCentro
Coahuila de Zaragoza,0031M00002pUmii,0061M00000zHchh,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR30,325,2145,2145,1,178.67,365,1,2,0,2145,179.67,12,1,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002jd6xj,0061M00000xVrYU,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6100,2100,1,174.92,365,1,2,2100,0,-874.58,12,7,1,100,171.37,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot93k,0061M00000xW6tB,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002jD2xv,0061M00000xzyhj,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6100,6100,6100,0,365,1,1,6100,0,0,12,10,1,100,100,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002ouGk9,0061M00000xWjoL,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,1,174.08,365,1,2,2100,-10,-880.42,12,7,1,100.48,172.19,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002jCrPi,0061M00000xzyht,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6100,6100,6100,0,365,1,2,6100,0,0,12,10,1,100,100,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNf9w,0061M00000xWkJB,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,950,1710,570,12,6,2,35.71,62.5,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002jCrRA,0061M00000xzyi8,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6100,6720,2100,770,30,6,8,6720,0,0,6,10,7,100,100,2,Aramberri ILUCentro
Nuevo Le—n,0031M00002ouGjz,0061M00000xWjoB,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002jCrPn,0061M00000xVrO0,ILUMEXICO Financiador,Vendido,Cobrando,Moroso,0,6100,6720,2500,703.33,30,6,7,1500,5220,5220,6,7,1,22.32,22.32,0,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfA8,0061M00000xWkJL,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2090,2090,1,174.08,365,1,2,500,1590,545.5,12,6,1,23.92,47.82,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002jCrOz,0061M00000ycnM6,ILUMEXICO Financiador,Vendido,Cobrando,Deudor PAR 60,0,770,6720,2100,770,30,6,7,4714.8,2005.2,2005.2,6,9,5,70.16,70.16,0,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfAL,0061M00000xWkJQ,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,1330,1330,190,12,6,6,50,87.5,No Disponible,Aramberri ILUCentro
