Id de contacto,Encuesta: Id.,Codigo de Cliente,Estado,Localidad,Edad,Sexo,Habla lengua indigena?,Temporalidad de Ingresos,Tiene cuenta bancaria?,Credito Activo?,Apoyo Programas,Remesas,Actividad Economica Principal,Tiene Cultivo,Tipo de cultivo,Parcelas Terreno,Animales,Numero vacas,Numero puercos borregos,Numero aves otros,Cuartos en la Casa,Material de Vivienda,Cuenta con Luz Electrica,Fuente de Iluminacion,Gasto Fuente de Iluminacion,Donde se consigue fuente de iluminacion,Aparatos que comprara con luz,Proveniencia agua para beber,Acceso transporte,Nombre de la cuenta
0031M00002qxJmj,a0s1M00000FqYdz,19-007-0217-006,Nuevo Le—n,Los Cuartitos,63,Masculino,NO,Temporal,NO,NO,PROSPERA,"Si, de Mexico",Agricultura,Menos de 1 hect‡rea,"Mitad frutales, mitad granos",Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,3 o mas,Tabique/piedra y Techo de L‡mina,NO,Velas,52,,Television;Refrigerador,De un pozo o manantial (sin hervir),Veh’culo propio,Aramberri ILUCentro
0031M00002pQcmJ,a0s1M00000FqNuB,19-007-0060-001,Nuevo Le—n,San Joaqu’n de Soto,56,Masculino,NO,Constante,SI,NO,Ninguno,No,Ganaderia,M‡s de 2 hect‡reas,Granos b‡sicos,Acredita mas de 1 propiedad,Vacas,,,,3 o mas,Tabique y loza de cemento,NO,Generador,500,,Television;Refrigerador;Ventilador,De un pozo o manantial (sin hervir),Veh’culo propio,Aramberri ILUCentro
0031M00002qyCmx,a0s1M00000Fqbzz,19-017-0520-004,Nuevo Le—n,Francisco Villa (San Francisco de Balderas),24,Femenino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Menos de 1 hect‡rea,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique/piedra y Techo de L‡mina,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Licuadora,La hierven,No tiene,Aramberri ILUCentro
0031M00002qwIie,a0s1M00000FqXZF,19-014-0164-006,Nuevo Le—n,Santa Rita,64,Masculino,NO,Temporal,NO,NO,PROSPERA,"Si, del Extranjero",Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique/piedra y Techo de L‡mina,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Refrigerador,La hierven,No tiene,Aramberri ILUCentro
0031M00002qwIj3,a0s1M00000FqXZK,19-014-0060-001,Nuevo Le—n,El Leoncito,52,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Madera y techo de l‡mina,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Refrigerador,La hierven,No tiene,Aramberri ILUCentro
0031M00002qGBug,a0s1M00000FqXAQ,19-014-0270-001,Nuevo Le—n,Parada del Mirador,49,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,1 cuarto,Tabique/piedra y Techo de L‡mina,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Licuadora,La hierven,No tiene,Aramberri ILUCentro
0031M00002qGBuq,a0s1M00000FqXAV,19-014-0001-002,Nuevo Le—n,Doctor Arroyo,36,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique/piedra y Techo de L‡mina,NO,Velas,250,,Television;Radio;Licuadora,La hierven,No tiene,Aramberri ILUCentro
0031M00002qGBuR,a0s1M00000FqXAL,19-014-0001-004,Nuevo Le—n,Doctor Arroyo,52,Femenino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Menos de 1 hect‡rea,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,3 o mas,Tabique y loza de cemento,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Licuadora,La hierven,No tiene,Aramberri ILUCentro
0031M00002qyCn7,a0s1M00000Fqc04,19-017-0520-003,Nuevo Le—n,Francisco Villa (San Francisco de Balderas),49,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Menos de 1 hect‡rea,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique/piedra y Techo de L‡mina,NO,Velas,250,,Television;Radio;Licuadora,La hierven,No tiene,Aramberri ILUCentro
0031M00002qFRPO,a0s1M00000FqViB,19-014-0087-001,Nuevo Le—n,Pompeya,36,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Agricultura,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique/piedra y Techo de L‡mina,NO,Velas,250,,Television;Radio;Refrigerador;Licuadora,La hierven,No tiene,Aramberri ILUCentro
0031M00002qDxcX,a0s1M00000FqTnY,19-014-0238-004,Nuevo Le—n,La Mesa de Berrones,70,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique y loza de cemento,NO,Velas,250,,Television;Radio;Refrigerador,La hierven,No tiene,Aramberri ILUCentro
0031M00002qDxcc,a0s1M00000FqTnd,19-014-0238-007,Nuevo Le—n,La Mesa de Berrones,37,Masculino,NO,Temporal,NO,NO,PROSPERA,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,1 cuarto,Tabique y loza de cemento,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Refrigerador,La hierven,No tiene,Aramberri ILUCentro
0031M00002qFBI2,a0s1M00000FqVU7,19-014-0164-007,Nuevo Le—n,Santa Rita,26,Masculino,NO,Temporal,NO,NO,Ninguno,No,Agricultura,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique y loza de cemento,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Refrigerador,La hierven,Veh’culo propio,Aramberri ILUCentro
0031M00002qDIwS,a0s1M00000FqTNa,19-014-0150-001,Nuevo Le—n,San Ram—n de los Mart’nez,30,Femenino,NO,Temporal,NO,NO,PROSPERA,No,Agricultura,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Borregos / Puercos / Cabras,,,,2 cuartos,Tabique y loza de cemento,NO,Pila / Bater’a / Acumulador,250,,Television;Radio;Licuadora,La hierven,Veh’culo propio,Aramberri ILUCentro
0031M00002qDZGI,a0s1M00000FqTZC,19-024-0197-008,Nuevo Le—n,Zaragoza,45,Masculino,NO,Temporal,NO,NO,Ninguno,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Vacas,,,,2 cuartos,Madera y techo de l‡mina,NO,Generador,300,,Television;Refrigerador;Otros Aparatos,La hierven,No tiene,Aramberri ILUCentro
0031M00002qDZ6w,a0s1M00000FqTZ2,19-024-0179-292,Nuevo Le—n,Cuauht_moc,38,Masculino,NO,Temporal,NO,NO,Ninguno,No,Ganaderia,Entre 1 y 2 hect‡reas,Granos b‡sicos,Acredita 1 propiedad,Vacas; Borregos / Puercos / Cabras,,,,3 o mas,Madera y techo de l‡mina,NO,Pila / Bater’a / Acumulador,250,,Television;Refrigerador;Otros Aparatos,La hierven,No tiene,Aramberri ILUCentro
